The model is (csv):
time,v1,v2,v4,v5,v6,v7,v8,v9,v10,v11,v12,v14,v16,v18,v20,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36
0,4,1,1,0,4,4,3,3,3,1,4,4,4,2,0,2,4,4,3,4,4,4,3,1,2,4,4,3,2,0
1,4,2,2,1,4,4,4,4,2,2,3,3,3,2,1,3,4,4,4,4,4,3,3,0,1,3,4,2,3,1
2,3,3,3,2,4,4,3,4,1,3,2,2,2,1,2,4,4,4,4,4,4,4,2,1,2,4,4,3,2,1
3,2,4,4,1,4,4,4,4,2,4,1,1,1,2,3,3,4,4,4,4,4,4,1,2,3,4,4,3,1,2
4,1,3,3,2,4,4,4,3,2,4,0,0,1,3,2,4,4,4,4,4,4,4,2,3,4,4,4,3,1,3
5,0,2,2,3,4,4,4,2,3,4,0,0,1,3,1,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4
6,0,1,2,3,4,4,4,1,4,4,0,0,0,2,0,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4
7,0,0,1,2,4,4,4,0,4,4,0,0,0,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
8,0,0,0,2,4,4,4,0,4,4,0,0,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9,0,0,0,1,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
13,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
14,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
19,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
20,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
21,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
22,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
23,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
24,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
25,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
26,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
27,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
28,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
29,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,<---
Time: 00:00:24.5530345
