The model is (csv):
time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v51,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119
0,2,3,4,2,4,0,4,0,0,4,4,2,3,4,3,4,3,0,2,0,0,0,1,0,4,1,1,4,0,1,0,4,0,0,0,4,0,0,4,1,2,0,0,3,1,4,0,0,3,2,2,4,3,3,4,2,4,0,3,0,0,4,4,3,1,1,0,4,2,2,2,3,0,0,3,4,4,2,4,2,0,0,0,0,4,4,4,4,1,3
1,3,2,3,3,4,1,4,0,0,4,3,3,4,3,2,3,4,0,1,1,0,0,2,0,3,0,2,3,0,0,0,3,0,0,0,3,0,0,3,2,1,0,0,4,2,3,0,0,3,3,3,4,3,2,3,3,3,1,4,0,0,4,4,4,2,2,0,3,3,1,2,2,0,0,2,4,3,1,3,2,1,1,0,1,4,4,3,4,2,4
2,4,1,2,3,3,2,3,0,0,4,2,4,3,2,1,2,3,0,0,2,0,0,3,1,2,1,3,2,0,0,0,2,1,0,0,2,1,0,2,3,0,0,0,4,3,2,0,0,4,3,4,4,4,1,2,3,2,2,3,0,0,3,4,4,3,3,0,2,3,1,1,2,0,0,1,4,4,2,2,3,2,2,1,2,4,4,4,4,3,4
3,3,0,1,2,2,3,2,0,0,4,3,3,2,1,0,1,2,1,0,3,0,0,4,2,1,2,2,1,0,0,1,1,2,0,0,1,2,0,1,4,0,0,0,4,4,1,0,0,4,4,4,4,4,0,1,2,3,2,2,0,0,2,4,4,4,4,0,1,2,2,1,3,0,0,1,4,4,3,3,4,3,3,2,3,4,4,4,4,4,4
4,2,0,0,1,3,2,1,0,0,4,4,2,3,2,0,0,1,2,1,4,0,0,3,3,1,3,1,0,0,0,2,1,3,0,0,0,3,1,2,4,0,0,0,4,4,0,0,0,4,4,4,4,4,0,0,1,4,3,2,0,0,3,4,4,4,4,0,0,1,3,2,3,0,0,2,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4
5,3,0,0,0,4,3,2,0,0,3,4,3,4,3,0,0,0,3,2,3,0,0,2,4,2,4,2,0,0,0,3,2,3,0,0,1,4,2,3,4,0,0,0,4,4,0,0,0,4,4,4,4,4,0,0,0,4,4,1,0,0,4,4,3,4,4,0,0,0,3,3,2,0,0,3,3,4,3,4,4,3,4,4,4,4,4,4,2,2,4
6,4,0,0,0,4,4,1,0,0,3,4,4,4,4,0,0,0,4,3,2,0,0,2,4,3,3,3,0,0,0,2,3,2,0,0,2,4,3,4,4,0,0,0,4,4,0,0,0,4,4,4,4,3,0,0,0,4,4,0,0,0,4,4,2,4,4,0,0,0,2,3,1,0,0,3,3,4,2,4,4,4,4,4,4,4,3,4,1,2,3
7,4,0,0,0,4,4,0,0,0,4,4,4,4,3,0,0,0,4,4,1,0,0,3,4,4,4,4,0,0,0,2,2,1,0,0,3,4,2,4,4,0,0,0,4,4,0,0,0,4,4,3,4,2,0,0,0,4,4,0,0,0,4,4,1,4,4,0,0,0,2,2,1,0,0,2,3,3,2,4,4,3,4,4,4,4,2,4,0,3,2
8,4,0,0,0,4,4,0,0,0,4,4,4,4,4,0,0,0,4,4,0,0,0,4,4,4,3,4,0,0,0,3,2,2,0,0,2,4,2,4,3,0,0,0,4,4,0,0,0,4,4,2,4,1,0,0,0,4,4,0,0,0,4,4,0,4,3,0,0,0,2,2,2,0,0,2,2,2,3,3,4,2,4,3,4,4,1,4,0,4,1
9,4,0,0,0,4,4,0,0,0,4,4,4,3,3,0,0,0,4,4,0,0,0,4,4,4,2,4,0,0,0,4,3,2,0,0,2,4,3,3,2,0,0,0,4,4,0,0,0,4,4,1,4,0,0,0,0,4,4,0,0,0,4,4,0,4,2,0,0,0,3,2,2,0,0,2,2,1,4,2,4,1,4,2,4,4,0,4,0,4,0
10,3,0,0,0,4,4,0,0,0,4,4,4,2,2,0,0,0,4,4,0,0,0,4,4,4,1,3,0,0,0,4,4,1,0,0,3,4,4,2,1,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,1,0,0,0,4,3,2,0,0,3,2,0,4,1,4,0,4,1,4,4,0,4,0,4,0
