The model is (csv):
time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v41,v42,v43,v44,v45,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102
0,4,2,1,2,4,4,1,0,0,4,4,0,4,0,1,2,1,4,4,0,3,0,0,2,2,1,1,4,4,3,0,1,0,4,0,0,4,3,4,4,1,4,3,4,3,4,4,3,2,4,2,4,2,4,1,3,0,0,3,2,4,4,1,2,4,2,0,0,0,0,0,0,0,3,4
1,4,1,0,1,3,4,0,0,0,3,4,1,4,1,0,1,2,3,4,0,4,0,0,3,3,2,2,3,3,4,1,0,1,3,0,0,3,4,4,3,0,3,4,3,4,4,4,2,3,3,1,3,3,4,2,3,0,0,4,3,4,4,0,1,3,3,1,0,1,0,0,0,1,2,3
2,3,0,0,0,2,3,0,0,0,4,4,2,3,2,0,0,1,2,3,0,3,0,0,3,4,3,3,2,2,3,2,1,2,2,0,0,2,3,4,2,0,3,4,3,4,3,4,1,4,4,0,2,3,4,3,2,0,0,4,4,4,4,1,0,2,3,2,1,2,1,0,0,2,3,3
3,4,0,0,0,2,2,1,0,0,4,3,3,2,3,0,0,0,3,2,1,2,0,0,2,4,4,2,1,1,2,3,2,3,2,0,0,1,3,4,1,0,3,4,4,4,4,4,2,4,4,0,1,2,4,4,1,0,0,3,4,4,4,2,0,1,2,3,2,3,2,0,0,1,4,4
4,4,0,0,0,3,2,2,0,0,4,2,4,2,2,0,0,0,4,3,2,3,0,0,1,3,4,1,0,0,1,3,3,2,3,0,0,0,3,4,2,1,4,3,4,3,4,3,3,4,3,0,0,1,4,4,0,0,0,4,4,4,4,1,0,0,1,4,3,2,3,0,0,2,4,4
5,4,0,0,0,4,3,2,0,0,3,2,4,3,1,0,0,0,3,4,1,4,0,0,2,3,3,0,0,0,0,3,3,1,3,0,0,1,4,4,3,2,3,3,3,2,4,2,2,4,4,0,0,0,3,4,0,0,0,4,4,3,4,2,0,0,0,4,4,1,4,0,0,3,4,4
6,3,0,0,0,3,4,1,0,0,2,3,3,4,2,0,0,0,3,3,0,3,0,0,3,4,3,1,0,0,0,3,3,1,3,0,0,2,3,3,4,2,3,3,3,1,3,2,1,4,4,0,0,0,2,3,0,0,0,4,4,2,3,3,0,0,0,4,4,0,4,0,0,2,4,4
7,2,0,0,0,3,3,0,0,0,1,4,3,3,3,0,0,0,3,3,1,3,0,0,4,3,3,2,0,0,0,3,3,1,3,0,0,2,3,3,3,1,4,3,4,0,2,3,1,3,4,0,0,0,2,2,1,0,0,3,3,2,2,2,0,0,0,4,4,0,4,0,0,1,4,4
8,1,0,0,0,3,3,1,0,0,0,3,4,3,4,0,0,0,3,3,1,3,0,0,3,3,3,2,0,0,0,3,3,1,3,0,0,1,4,3,2,2,3,3,3,1,1,4,1,3,3,0,0,0,2,2,2,0,0,2,2,3,2,1,0,0,0,3,4,0,4,0,0,1,3,4
9,0,0,0,0,3,3,1,0,0,1,3,3,3,3,0,0,0,3,3,1,3,0,0,2,3,3,1,0,0,0,3,3,1,3,0,0,2,3,3,2,2,3,3,2,2,0,3,1,3,2,0,0,0,3,2,2,0,0,1,2,4,2,1,0,0,0,3,3,0,3,0,0,1,3,4
10,1,0,0,0,2,3,1,0,0,2,3,2,3,2,0,0,0,3,3,1,3,0,0,2,3,3,2,0,0,0,3,3,1,3,0,0,2,3,3,2,2,3,3,2,3,1,3,1,3,1,0,0,0,3,3,2,0,0,0,2,3,3,1,0,0,0,3,3,1,3,0,0,1,3,3
11,2,0,0,0,2,2,1,0,0,3,3,2,2,2,0,0,0,3,3,1,3,0,0,2,3,3,2,0,0,0,3,3,1,3,0,0,2,3,3,2,2,3,3,2,4,2,3,1,3,0,0,0,0,3,3,1,0,0,1,3,3,3,1,0,0,0,3,3,1,3,0,0,1,3,3
12,3,0,0,0,2,2,2,0,0,4,2,2,2,2,0,0,0,3,3,1,3,0,0,2,3,3,2,0,0,0,3,3,1,3,0,0,2,3,3,2,2,3,3,3,3,3,3,1,3,1,0,0,0,3,3,1,0,0,2,3,3,3,1,0,0,0,3,3,1,3,0,0,1,3,3
13,4,0,0,0,2,2,2,0,0,3,2,3,2,2,0,0,0,3,3,1,3,0,0,2,3,3,2,0,0,0,3,3,1,3,0,0,2,3,3,3,2,3,2,3,2,4,2,1,3,2,0,0,0,3,3,1,0,0,3,3,3,3,1,0,0,0,3,3,1,3,0,0,1,3,3
14,3,0,0,0,3,2,2,0,0,2,2,3,2,2,0,0,0,2,3,1,3,0,0,3,3,2,2,0,0,0,3,3,1,3,0,0,2,3,3,4,2,3,2,3,2,3,2,1,3,3,0,0,0,2,3,1,0,0,4,3,2,3,1,0,0,0,3,3,1,3,0,0,1,3,3
15,2,0,0,0,3,3,2,0,0,2,2,3,3,3,0,0,0,2,2,1,2,0,0,4,3,2,2,0,0,0,3,3,1,3,0,0,2,3,3,4,2,3,2,3,2,2,2,1,3,4,0,0,0,2,2,1,0,0,3,3,2,2,1,0,0,0,3,3,1,3,0,0,1,3,3
16,2,0,0,0,3,3,1,0,0,2,3,3,3,4,0,0,0,2,2,2,2,0,0,4,2,2,2,0,0,0,3,3,1,3,0,0,2,3,3,4,2,3,2,3,2,2,2,1,3,3,0,0,0,2,2,2,0,0,2,2,2,2,1,0,0,0,3,3,1,3,0,0,1,3,3
17,2,0,0,0,3,3,1,0,0,2,3,3,3,4,0,0,0,2,2,2,2,0,0,4,2,2,2,0,0,0,3,3,1,3,0,0,2,3,3,3,3,2,3,2,3,2,3,1,3,2,0,0,0,2,2,2,0,0,2,2,2,2,1,0,0,0,3,3,1,3,0,0,1,3,3
18,2,0,0,0,2,3,1,0,0,3,3,2,3,4,0,0,0,2,2,2,2,0,0,3,2,3,2,0,0,0,2,3,1,3,0,0,3,2,3,2,4,2,3,2,4,2,3,1,3,2,0,0,0,2,2,2,0,0,2,2,3,2,1,0,0,0,3,3,1,3,0,0,1,3,3
19,3,0,0,0,2,2,1,0,0,4,3,2,2,3,0,0,0,3,2,2,2,0,0,2,2,3,3,0,0,0,2,2,1,2,0,0,4,2,3,2,4,2,3,2,4,3,3,1,3,2,0,0,0,3,2,2,0,0,2,2,3,2,1,0,0,0,3,3,1,3,0,0,1,3,3
20,4,0,0,0,2,2,2,0,0,4,2,2,2,2,0,0,0,3,3,2,3,0,0,2,2,3,4,0,0,0,2,2,2,2,0,0,4,2,2,2,4,2,3,2,4,4,3,1,3,2,0,0,0,3,3,2,0,0,3,2,3,3,1,0,0,0,3,3,1,3,0,0,1,3,3
21,4,0,0,0,2,2,2,0,0,4,2,2,2,2,0,0,0,3,3,1,3,0,0,2,3,3,4,0,0,0,2,2,2,2,0,0,4,2,2,3,4,2,2,2,4,4,2,2,2,3,0,0,0,3,3,1,0,0,4,3,3,3,1,0,0,0,3,3,1,3,0,0,1,3,3
22,4,0,0,0,2,2,2,0,0,4,2,2,2,2,0,0,0,2,3,1,3,0,0,3,3,2,4,0,0,0,2,2,2,2,0,0,4,2,2,4,3,3,2,3,3,4,2,2,2,4,0,0,0,2,3,1,0,0,4,3,2,3,1,0,0,0,2,3,1,3,0,0,2,2,3
23,4,0,0,0,2,2,2,0,0,3,2,3,2,3,0,0,0,2,2,1,2,0,0,4,3,2,4,0,0,0,2,2,2,2,0,0,3,3,2,4,2,3,2,3,2,4,2,2,2,4,0,0,0,2,2,1,0,0,4,3,2,2,2,0,0,0,2,2,1,2,0,0,2,2,3
24,3,0,0,0,3,2,2,0,0,2,2,3,2,4,0,0,0,2,2,2,2,0,0,4,2,2,3,0,0,0,3,2,2,2,0,0,2,3,2,4,2,3,2,3,2,3,2,2,2,4,0,0,0,2,2,2,0,0,4,2,2,2,2,0,0,0,2,2,2,2,0,0,2,2,2
